school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,22,U,GT3,T,4,3,other,health,home,mother,1,4,0,no,yes,no,no,yes,yes,yes,no,1,1,1,1,3,4,11,13,14,12
GP,M,15,U,LE3,T,1,4,services,services,home,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,5,3,3,8,7,8,6
MS,M,18,U,GT3,T,0,3,services,services,home,mother,3,3,1,no,no,no,no,yes,yes,yes,no,1,4,2,3,1,4,4,8,9,4
GP,F,18,U,GT3,T,3,2,services,other,reputation,mother,1,3,1,no,no,no,no,no,yes,yes,yes,5,1,2,1,4,3,8,7,10,7
GP,F,21,U,LE3,A,2,2,teacher,services,course,father,2,3,0,no,yes,no,yes,yes,yes,yes,no,4,5,5,4,2,5,1,13,14,10
MS,M,16,R,GT3,T,4,1,other,services,home,mother,2,1,0,no,yes,yes,no,yes,yes,yes,no,5,1,4,5,2,3,10,12,13,10
GP,F,18,R,LE3,A,0,1,teacher,services,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,4,3,2,4,4,7,6,6,4
GP,M,16,R,GT3,T,0,3,services,services,reputation,other,4,3,0,yes,no,no,yes,yes,yes,no,no,2,4,1,5,1,4,7,9,8,8
GP,F,21,U,GT3,T,2,0,services,other,other,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,3,5,5,4,4,5,10,10,8,7
GP,F,20,R,GT3,T,4,0,teacher,services,home,other,4,4,0,no,yes,yes,no,yes,yes,yes,yes,4,4,4,4,3,5,13,12,15,9
GP,F,18,U,LE3,T,2,1,teacher,other,other,mother,3,3,0,no,yes,no,yes,yes,yes,no,no,1,3,3,2,4,2,9,13,12,10
MS,M,18,U,LE3,A,3,3,at_home,services,course,mother,4,2,2,no,yes,no,no,yes,yes,yes,yes,2,4,3,1,1,2,7,8,9,6
GP,F,16,U,LE3,T,4,3,teacher,health,home,father,4,1,0,yes,no,no,yes,no,yes,yes,no,1,2,3,3,4,2,5,8,9,8
MS,F,22,R,LE3,T,4,2,services,services,course,mother,3,1,2,no,no,yes,yes,no,yes,no,no,5,3,5,5,2,3,7,5,6,5
GP,F,20,U,LE3,T,2,2,services,teacher,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,2,5,4,3,5,3,9,5,4,2
GP,F,17,R,LE3,T,3,0,services,other,reputation,mother,2,2,0,no,yes,yes,yes,no,yes,yes,no,3,1,3,4,2,1,10,7,6,6
GP,F,18,U,GT3,T,2,1,health,services,reputation,mother,4,4,0,yes,no,no,no,no,yes,yes,no,3,2,4,4,1,5,12,14,15,8
